Engineering Strain 1,Engineering Stress 1 (MPa),Displacement (mm),Force (N),Engineering Strain 2,Engineering Stress 2 (MPa)
,,3.613,8564.830,0.1419088767,954.8305463
,,3.631,8556.546,0.142615868,953.9070234
,,3.634,8548.094,0.1427336999,952.9647715
,,3.643,8539.006,0.1430871956,951.9516165
,,3.658,8529.550,0.1436763551,950.8974359
,,3.667,8520.832,0.1440298507,949.9255295
,,3.673,8510.756,0.1442655145,948.8022297
,,3.685,8501.471,0.1447368421,947.7671126
,,3.694,8492.111,0.1450903378,946.7236343
,,3.713,8482.472,0.1458366064,945.6490524
,,3.716,8471.248,0.1459544383,944.3977703
,,3.726,8461.023,0.1463472113,943.2578595
,,3.738,8450.261,0.1468185389,942.0580825
,,3.747,8437.189,0.1471720346,940.6007804
,,3.759,8426.960,0.1476433621,939.4604236
,,3.765,8415.658,0.1478790259,938.2004459
,,3.780,8403.898,0.1484681854,936.8894091
,,3.792,8390.689,0.148939513,935.4168339
,,3.801,8377.787,0.1492930086,933.9784838
,,3.817,8365.161,0.1499214454,932.570903
,,3.823,8351.102,0.1501571092,931.0035674
,,3.835,8339.224,0.1506284368,929.6793757
,,3.844,8324.652,0.1509819324,928.0548495
,,3.854,8310.538,0.1513747054,926.4813824
,,3.869,8296.884,0.1519638649,924.9591973
,,3.878,8281.147,0.1523173606,923.2047938
,,3.884,8266.268,0.1525530244,921.5460424
,,3.896,8249.524,0.1530243519,919.6793757
,,3.908,8233.703,0.1534956795,917.9156076
,,3.921,8217.377,0.1540062844,916.0955407
,,3.928,8201.146,0.1542812255,914.2860647
,,3.942,8184.364,0.1548311076,912.4151616
